industry_code,industry,national_fatals_total,states_fatals_sum,pct_coverage,all_states_count,fatal_states_count
44719X,Other Gasoline Stations,40,0,0,52,
44819X,Other Clothing Stores,8,0,0,52,
44821X,Shoe Stores,3,0,0,52,
4482XX,Shoe Stores,3,0,0,52,
45122X,"Prerecorded Tape, Compact Disc, And Record Stores",8,0,0,52,
45299X,All Other General Merchandise Stores,41,0,0,39,
45393X,Manufactured (Mobile) Home Dealers,8,0,0,47,
453998,All Other Miscellaneous Store Retailers (Except Tobacco Stores),30,0,0,52,
454311,Heating Oil Dealers,16,0,0,43,
454312,Liquefied Petroleum Gas (Bottled Gas) Dealers,23,0,0,49,
482112,Short Line Railroads,9,0,0,2,
485999,All Other Transit And Ground Passenger Transportation,13,0,0,48,
48611X,Pipeline Transportation Of Crude Oil,3,0,0,17,
4861XX,Pipeline Transportation Of Crude Oil,3,0,0,17,
48621X,Pipeline Transportation Of Natural Gas,4,0,0,36,
4862XX,Pipeline Transportation Of Natural Gas,4,0,0,36,
48799X,"Scenic And Sightseeing Transportation, Other",15,0,0,33,
48819X,Other Support Activities For Air Transportation,47,0,0,50,
48839X,Other Support Activities For Water Transportation,13,0,0,32,
49312X,Refrigerated Warehousing And Storage,20,0,0,43,
49319X,Other Warehousing And Storage,4,0,0,47,
51224X,Sound Recording Studios,5,0,0,48,
5122XX,Sound Recording Industries,8,0,0,51,
51512X,Television Broadcasting,17,0,0,50,
517212,Cellular And Other Wireless Telecommunications,13,0,0,45,
51721X,Wireless Telecommunications Carriers (Except Satellite),29,0,0,52,
5172XX,Wireless Telecommunications Carriers (Except Satellite),29,0,0,52,
51751X,Cable And Other Program Distribution,27,0,0,48,
5175XX,Cable And Other Program Distribution,27,0,0,48,
51821X,"Data Processing, Hosting, And Related Services",3,0,0,52,
5182XX,"Data Processing, Hosting, And Related Services",3,0,0,52,
518XXX,"Internet Service Providers, Web Search Portals, And Data Processing Services",7,0,0,52,
52212X,Savings Institutions,3,0,0,44,
522291,Consumer Lending,3,0,0,48,
522298,All Other Nondepository Credit Intermediation,35,0,0,52,
52232X,"Financial Transactions Processing, Reserve, And Clearinghouse Activities",3,0,0,51,
52312X,Securities Brokerage,5,0,0,52,
52393X,Investment Advice,10,0,0,52,
5239XX,Other Financial Investment Activities,12,0,0,50,
524126,Direct Property And Casualty Insurance Carriers,6,0,0,52,
52412X,"Direct Insurance (Except Life, Health, And Medical) Carriers",9,0,0,51,
53119X,Lessors Of Other Real Estate Property,18,0,0,52,
532299,All Other Consumer Goods Rental,12,0,0,52,
53231X,General Rental Centers,4,0,0,51,
5323XX,General Rental Centers,4,0,0,51,
53249X,Other Commercial And Industrial Machinery And Equipment Rental And Leasing,9,0,0,51,
541199,All Other Legal Services,4,0,0,51,
54135X,Building Inspection Services,6,0,0,52,
54136X,Geophysical Surveying And Mapping Services,7,0,0,51,
541511,Custom Computer Programming Services,9,0,0,52,
541512,Computer Systems Design Services,9,0,0,52,
541519,Other Computer Related Services,3,0,0,50,
54151X,Computer Systems Design And Related Services,42,0,0,52,
5415XX,Computer Systems Design And Related Services,42,0,0,52,
541611,Administrative Management And General Management Consulting Services,4,0,0,52,
541613,Marketing Consulting Services,12,0,0,52,
54161X,Management Consulting Services,54,0,0,52,
54169X,Other Scientific And Technical Consulting Services,7,0,0,52,
541712,"Research And Development In The Physical, Engineering, And Life Sciences (Except Biotechnology)",3,0,0,51,
54171X,"Research And Development In The Physical, Engineering, And Life Sciences",31,0,0,52,
5417XX,Scientific Research And Development Services,34,0,0,52,
54181X,Advertising Agencies,3,0,0,52,
54185X,Display Advertising,31,0,0,52,
56121X,Facilities Support Services,34,0,0,52,
5612XX,Facilities Support Services,34,0,0,52,
56151X,Travel Agencies,4,0,0,52,
56199X,All Other Support Services,53,0,0,52,
562119,Other Waste Collection,19,0,0,42,
562219,Other Nonhazardous Waste Treatment And Disposal,13,0,0,45,
562998,All Other Miscellaneous Waste Management Services,12,0,0,50,
611519,Other Technical And Trade Schools,3,0,0,52,
611692,Automobile Driving Schools,3,0,0,46,
61169X,All Other Schools And Instruction,4,0,0,52,
621399,Offices Of All Other Miscellaneous Health Practitioners,3,0,0,52,
623311,Continuing Care Retirement Communities,7,0,0,52,
62399X,Other Residential Care Facilities,11,0,0,52,
62411X,Child And Youth Services,16,0,0,52,
62419X,Other Individual And Family Services,41,0,0,52,
62421X,Community Food Services,5,0,0,51,
71119X,Other Performing Arts Companies,25,0,0,37,
7132XX,Gambling Industries,11,0,0,49,
722212,Cafeterias,3,0,0,52,
722213,Snack And Nonalcoholic Beverage Bars,23,0,0,52,
81149X,Other Personal And Household Goods Repair And Maintenance,19,0,0,52,
812113,Nail Salons,3,0,0,51,
812199,Other Personal Care Services,15,0,0,51,
81222X,Cemeteries And Crematories,10,0,0,51,
812331,Linen Supply,6,0,0,47,
81299X,All Other Personal Services,8,0,0,52,
813319,Other Social Advocacy Organizations,3,0,0,52,
81394X,Political Organizations,4,0,0,52,
92111X,Executive Offices,6,0,0,45,
92113X,Public Finance Activities,11,0,0,52,
92119X,Other General Government Support,28,0,0,52,
92211X,Courts,15,0,0,52,
92219X,"Other Justice, Public Order, And Safety Activities",8,0,0,52,
92511X,Administration Of Housing Programs,3,0,0,50,
92611X,Administration Of General Economic Programs,11,0,0,52,
92614X,Regulation Of Agricultural Marketing And Commodities,6,0,0,52,
92615X,"Regulation, Licensing, And Inspection Of Miscellaneous Commercial Sectors",21,0,0,52,
42314X,Motor Vehicle Parts (Used) Merchant Wholesalers,60,1,1.666666666666666667,48,1
44122X,"Motorcycle, Boat, And Other Motor Vehicle Dealers",59,1,1.694915254237288136,51,1
45399X,All Other Miscellaneous Store Retailers,59,1,1.694915254237288136,52,1
23833X,Flooring Contractors,47,1,2.127659574468085106,52,1
33281X,"Coating, Engraving, Heat Treating, And Allied Activities",42,1,2.380952380952380952,51,1
3328XX,"Coating, Engraving, Heat Treating, And Allied Activities",42,1,2.380952380952380952,51,1
33621X,Motor Vehicle Body And Trailer Manufacturing,41,1,2.439024390243902439,50,1
3362XX,Motor Vehicle Body And Trailer Manufacturing,41,1,2.439024390243902439,50,1
6214XX,Outpatient Care Centers,40,1,2.5,52,1
48551X,Charter Bus Industry,39,1,2.564102564102564103,48,1
4855XX,Charter Bus Industry,39,1,2.564102564102564103,48,1
44419X,Other Building Material Dealers,116,3,2.586206896551724138,52,1
32733X,"Concrete Pipe, Brick, And Block Manufacturing",38,1,2.631578947368421053,41,1
4412XX,Other Motor Vehicle Dealers,75,2,2.666666666666666667,51,2
311615,Poultry Processing,73,2,2.739726027397260274,31,2
481111,Scheduled Passenger Air Transportation,70,2,2.857142857142857143,47,2
81233X,Linen And Uniform Supply,34,1,2.941176470588235294,50,1
322121,Paper (Except Newsprint) Mills,32,1,3.125,23,1
3345XX,"Navigational, Measuring, Electromedical, And Control Instruments Manufacturing",32,1,3.125,51,1
62431X,Vocational Rehabilitation Services,63,2,3.174603174603174603,52,2
6243XX,Vocational Rehabilitation Services,63,2,3.174603174603174603,52,2
23834X,Tile And Terrazzo Contractors,31,1,3.225806451612903226,52,1
33451X,"Navigational, Measuring, Electromedical, And Control Instruments Manufacturing",31,1,3.225806451612903226,51,1
51711X,Wired Telecommunications Carriers,93,3,3.225806451612903226,52,3
5171XX,Wired Telecommunications Carriers,93,3,3.225806451612903226,52,3
3271XX,Clay Product And Refractory Manufacturing,29,1,3.448275862068965517,45,1
53212X,"Truck, Utility Trailer, And Rv (Recreational Vehicle) Rental And Leasing",29,1,3.448275862068965517,50,1
711212,Racetracks,55,2,3.636363636363636364,47,2
5151XX,Radio And Television Broadcasting,26,1,3.846153846153846154,50,1
31111X,Animal Food Manufacturing,51,2,3.921568627450980392,46,2
3111XX,Animal Food Manufacturing,51,2,3.921568627450980392,46,2
32212X,Paper Mills,51,2,3.921568627450980392,32,2
212312,Crushed And Broken Limestone Mining And Quarrying,25,1,4,32,1
33232X,Ornamental And Architectural Metal Products Manufacturing,50,2,4,50,2
32191X,Millwork,24,1,4.166666666666666667,51,1
327331,Concrete Block And Brick Manufacturing,24,1,4.166666666666666667,43,1
33392X,Material Handling Equipment Manufacturing,24,1,4.166666666666666667,44,1
32199X,All Other Wood Product Manufacturing,23,1,4.347826086956521739,50,1
3221XX,"Pulp, Paper, And Paperboard Mills",69,3,4.347826086956521739,38,3
32712X,Clay Building Material And Refractories Manufacturing,23,1,4.347826086956521739,38,1
4237XX,"Hardware, And Plumbing And Heating Equipment And Supplies Merchant Wholesalers",23,1,4.347826086956521739,52,1
23815X,Glass And Glazing Contractors,44,2,4.545454545454545455,52,2
42311X,Automobile And Other Motor Vehicle Merchant Wholesalers,22,1,4.545454545454545455,51,1
3339XX,Other General Purpose Machinery Manufacturing,65,3,4.615384615384615385,51,3
561621,Security Systems Services (Except Locksmiths),21,1,4.761904761904761905,51,1
332322,Sheet Metal Work Manufacturing,20,1,5,50,1
1123XX,Poultry And Egg Production,59,3,5.084745762711864407,45,3
44112X,Used Car Dealers,97,5,5.154639175257731959,52,4
33341X,"Ventilation, Heating, Air-Conditioning, And Commercial Refrigeration Equipment Manufacturing",19,1,5.263157894736842105,48,1
